image_id,filename,year,month,day,final_date,confidence,text_found,reason
2500,002500.jpg,2021,8,21,2021-08-21,high,2021.08.21,제품 중앙에 유통기한으로 명시된 날짜가 선명하게 인쇄되어 있음
2515,002515.jpg,2022,2,16,2022-02-16,high,2022.02.16,제품 하단에 명확하게 인쇄된 날짜
2530,002530.jpg,2022,1,19,2022-01-19,high,2022.01.19까지,제품 전면 하단에 '까지'와 함께 날짜가 명확하게 인쇄되어 있음
2535,002535.jpg,2021,12,4,2021-12-04,high,2021.12.04,제품 상단에 유통기한 날짜가 명확하게 인쇄되어 있음
2570,002570.jpg,2021,5,7,2021-05-07,high,2021.05.07 까지,제품 라벨에 '까지'로 명시된 소비기한을 YYYY-MM-DD 형식으로 변환함
2585,002585.jpg,2023,11,4,2023-11-04,high,04-11-23,뚜껑 상단에 인쇄된 유통기한(DD-MM-YY 형식으로 추정)
2620,002620.jpg,2022,3,31,2022-03-31,high,31-03-2022,제품 상단에 인쇄된 날짜를 확인하였습니다.
2640,002640.jpg,2021,12,4,2021-12-04,high,2021.12.04,제품 하단에 유통기한으로 명시된 날짜가 선명하게 인쇄되어 있음
2645,002645.jpg,2021,12,14,2021-12-14,high,EXPIRY DATE 2021.12.14,The expiration date is clearly printed on the packaging.
2650,002650.jpg,2021,7,1,2021-07-01,high,BBE 01.07.2021,BBE(Best Before) 날짜가 01.07.2021로 명시되어 있음
2655,002655.jpg,2021,3,25,2021-03-25,high,21.03.25,제품 상단에 인쇄된 날짜를 유통기한으로 판독함
2675,002675.jpg,2021,3,23,2021-03-23,high,2021.03.23,제품 패키지 하단에 유통기한으로 명시된 날짜가 선명하게 인쇄되어 있음
2680,002680.jpg,2021,10,29,2021-10-29,high,29/10/2021,제품 하단에 'Consumir de preferencia antes de:' 문구와 함께 날짜가 명시되어 있음
2685,002685.jpg,2021,7,28,2021-07-28,high,BEST FØR: 28.07.2021,The date is clearly printed on the label under the Norwegian label 'BEST FØR'.
2695,002695.jpg,2022,1,14,2022-01-14,high,2022.01.14까지,제품 중앙 하단에 유통기한이 명확하게 인쇄되어 있음
2710,002710.jpg,2021,10,28,2021-10-28,high,21.10.28,The date is clearly printed at the bottom right of the package.
2715,002715.jpg,2021,12,15,2021-12-15,high,2021/12/15,하단에 'Best Before:' 문구와 함께 날짜가 명확하게 인쇄되어 있음
2720,002720.jpg,2026,1,9,2026-01-09,high,2026.01.09,제품 상단에 유통기한으로 명시된 날짜가 선명하게 인쇄되어 있음
2735,002735.jpg,2022,2,4,2022-02-04,high,2022.02.04,제품 상단에 유통기한이 명확하게 인쇄되어 있음
2740,002740.jpg,2021,12,18,2021-12-18,high,EXP 2021.12.18,제품 하단에 'EXP'와 함께 명확한 날짜가 기재되어 있음
2750,002750.jpg,2022,6,15,2022-06-15,high,2022.06.15까지,제품 패키지 중앙에 '2022.06.15까지'라는 문구가 명확하게 인쇄되어 있음
2755,002755.jpg,2021,5,16,2021-05-16,high,BEST BY: 2021.05.16,중앙 하단에 'BEST BY' 문구와 함께 날짜가 명확하게 인쇄되어 있음
2760,002760.jpg,2021,5,12,2021-05-12,high,2021.05.12,상품 중앙 하단에 명확하게 표기된 날짜
2775,002775.jpg,2021,10,8,2021-10-08,high,BEST BY 2021-10-08,상품 상단에 'BEST BY'와 함께 날짜가 명확하게 인쇄되어 있음
2790,002790.jpg,2021,12,6,2021-12-06,high,BEST BEFORE 06/ 12/ 2021,제품 뚜껑 상단에 'BEST BEFORE'로 명확하게 표기된 날짜를 추출함
2795,002795.jpg,2021,3,18,2021-03-18,high,2021.03.18까지,제품 상단에 유통기한이 명확하게 인쇄되어 있음
2805,002805.jpg,2023,1,13,2023-01-13,high,2023.01.13,제품 하단에 인쇄된 날짜가 명확하게 보입니다.
2815,002815.jpg,2021,6,28,2021-06-28,high,2021.06.28,제품 뒷면 하단에 유통기한으로 명시된 날짜를 추출함
2820,002820.jpg,2021,11,19,2021-11-19,high,2021.11.19,제품 라벨 하단 '유통기한: 하단표기일까지' 문구 아래에 날짜가 명확히 기재됨
2850,002850.jpg,2021,8,15,2021-08-15,high,2021.08.15,제품 하단 '유통기한' 항목 옆에 명시된 날짜
2856,002856.jpg,2022,9,13,2022-09-13,high,유통기한 2022.09.13,제품 뒷면 하단에 유통기한이 명확하게 표기되어 있음
2866,002866.jpg,2022,2,28,2022-02-28,high,28/02/22,Best before 문구 아래에 날짜가 명확하게 인쇄되어 있음
2881,002881.jpg,2021,4,13,2021-04-13,high,2021.04.13,유통기한 '까지'에 해당하는 날짜를 추출함
2886,002886.jpg,2022,1,4,2022-01-04,high,2022.01.04,제품 라벨 하단에 인쇄된 날짜를 추출함
2891,002891.jpg,2021,11,11,2021-11-11,high,2021.11.11,제품 하단에 유통기한 날짜가 명확하게 인쇄되어 있음
2901,002901.jpg,2022,8,3,2022-08-03,high,2022 08 03,병 뚜껑 부분에 인쇄된 날짜
2906,002906.jpg,2021,5,19,2021-05-19,high,2021.05.19까지,제품 하단에 '까지'로 명시된 소비기한이 명확하게 표기됨.
2916,002916.jpg,2022,9,15,2022-09-15,high,2022.09.15,제품 표면에 명확하게 인쇄된 날짜
2921,002921.jpg,2021,9,12,2021-09-12,high,12.09.2021,제품 하단 흰색 라벨에 명확하게 인쇄된 날짜
2926,002926.jpg,2021,11,6,2021-11-06,high,2021.11.06,제품 상단에 유통기한으로 명시된 날짜가 인쇄되어 있음
2931,002931.jpg,2022,6,30,2022-06-30,high,22.06.30,제품 하단에 '유통기한 : 22.06.30'이 명확하게 인쇄되어 있음
2936,002936.jpg,2021,11,11,2021-11-11,high,21. 11. 11,제품 측면 노란색 라벨에 명시된 날짜
2941,002941.jpg,2021,7,5,2021-07-05,high,05 07 2021,우측에 '유통기한(일-월-년 순)' 표기와 함께 날짜가 명확하게 기재되어 있음
2981,002981.jpg,2021,12,17,2021-12-17,high,2021.1217,제품 중앙 하단에 '2021.1217' 날짜가 명확하게 인쇄되어 있습니다.
2986,002986.jpg,2022,4,1,2022-04-01,high,2022.04.01,제품 뒷면 하단에 유통기한 날짜가 명확하게 인쇄되어 있음
2991,002991.jpg,2021,3,20,2021-03-20,high,2021. 03. 20까지,제품 하단에 '유통기한' 문구와 함께 날짜가 명확하게 인쇄되어 있음
3016,003016.jpg,2022,7,1,2022-07-01,high,2022.07.01,제품 하단에 유통기한으로 명시된 날짜가 선명하게 인쇄되어 있음
3051,003051.jpg,2020,12,19,2020-12-19,high,2020.12.19까지,제품 전면에 '2020.12.19까지'라는 문구가 명확하게 인쇄되어 있습니다.
3056,003056.jpg,2021,3,6,2021-03-06,high,2021.03.06까지,상단에 '유통기한' 문구와 함께 날짜가 명확하게 인쇄되어 있음
3061,003061.jpg,2022,3,5,2022-03-05,high,유통2022.03.05,제품 뒷면 하단에 '유통 2022.03.05'로 유통기한이 명시되어 있습니다.
3071,003071.jpg,2021,8,19,2021-08-19,high,2021.08.19,이미지 중앙 하단에 명확하게 인쇄된 날짜 확인
3081,003081.jpg,2021,12,2,2021-12-02,high,2021.12.02,이미지 하단 '유통기한' 항목 옆에 명확하게 날짜가 표기되어 있음
3096,003096.jpg,2022,10,12,2022-10-12,high,2022.10.12 까지,상단 중앙에 유통기한이 명확하게 인쇄되어 있음
3101,003101.jpg,2022,11,21,2022-11-21,high,유통기한: 2022.11.21 까지,제품 라벨 하단에 '유통기한: 2022.11.21 까지'가 명확하게 인쇄되어 있음
3111,003111.jpg,2021,6,9,2021-06-09,high,유통기한 2021.06.09 까지,제품 포장지에 '유통기한' 문구와 함께 날짜가 명확하게 인쇄되어 있음
3116,003116.jpg,2021,12,29,2021-12-29,high,유통기한: 2021.12.29,제품 하단에 '유통기한' 문구와 함께 날짜가 명확히 기재되어 있음
3156,003156.jpg,2021,10,26,2021-10-26,high,2021.10.26,상품 측면에 '유통기한' 문구와 함께 날짜가 명확하게 인쇄되어 있음
3176,003176.jpg,2021,4,30,2021-04-30,high,2021.04.30,제품 중앙 투명창 부분에 '2021.04.30' 날짜가 선명하게 인쇄되어 있습니다.
3181,003181.jpg,2021,6,14,2021-06-14,high,14.06.2021,상단에 'best before' 문구와 함께 날짜가 명확하게 표기되어 있음
3186,003186.jpg,2021,10,21,2021-10-21,high,OCT.21.2021,제품 상단 스티커에 명시된 Expiry Date
3191,003191.jpg,2021,11,19,2021-11-19,high,21.11.19,하단 흰색 박스 내 두 번째 줄에 유통기한으로 명시된 날짜가 선명하게 보임
3196,003196.jpg,2022,11,5,2022-11-05,high,EXP NOV 05 2022,제품 하단에 EXP(유통기한) 날짜가 명확하게 인쇄되어 있음
3201,003201.jpg,2022,9,21,2022-09-21,high,21.09.2022,라벨 중앙에 'BEST BEFORE END' 문구 아래 날짜가 명확히 기재되어 있음
3206,003206.jpg,2021,4,13,2021-04-13,high,2021.04.13 까지,제품 포장지에 '까지'와 함께 날짜가 명확히 표기되어 있음.
3216,003216.jpg,2022,1,15,2022-01-15,high,BEST BEFORE: 2022.01.15,제품 뒷면 하단에 'BEST BEFORE' 문구와 함께 날짜가 명확하게 인쇄되어 있음
3226,003226.jpg,2022,1,29,2022-01-29,high,유통기한: 2022.01.29 까지,용기 하단 라벨에 '유통기한: 2022.01.29 까지'로 명확히 표기됨
